university,name
http://www.wikidata.org/entity/Q2094960,St. Clement of Ohrid University of Bitola
http://www.wikidata.org/entity/Q2096138,An-Najah National University
http://www.wikidata.org/entity/Q2096395,Universiti Teknologi Petronas
http://www.wikidata.org/entity/Q2096524,Ulster University
http://www.wikidata.org/entity/Q371522,University of Gothenburg
http://www.wikidata.org/entity/Q372529,Royal and Pontifical University of Mexico
http://www.wikidata.org/entity/Q372608,University of Basel
http://www.wikidata.org/entity/Q194445,Cairo University
http://www.wikidata.org/entity/Q1432030,Jilin University
http://www.wikidata.org/entity/Q1432632,University of Reading
http://www.wikidata.org/entity/Q482688,Kunsan National University
http://www.wikidata.org/entity/Q482692,Chinju National University of Education
http://www.wikidata.org/entity/Q482699,Jeonju National University of Education
http://www.wikidata.org/entity/Q482711,Daegu National University of Education
http://www.wikidata.org/entity/Q482716,Sungkonghoe University
http://www.wikidata.org/entity/Q482724,Hallym University
http://www.wikidata.org/entity/Q482735,Sookmyung Women's University
http://www.wikidata.org/entity/Q482751,Kyungsung University
http://www.wikidata.org/entity/Q482756,University of Suwon
http://www.wikidata.org/entity/Q94279,University of Alaska Southeast
http://www.wikidata.org/entity/Q94469,K. D. Ushynsky South Ukrainian National Pedagogical University
http://www.wikidata.org/entity/Q94473,I. Ya. Horbachevsky Ternopil National Medical University of Ministry of Health Care of Ukraine
http://www.wikidata.org/entity/Q369629,Salahaddin University
http://www.wikidata.org/entity/Q369839,University of Szeged
http://www.wikidata.org/entity/Q370230,WuFeng University
http://www.wikidata.org/entity/Q370968,New Bulgarian University
http://www.wikidata.org/entity/Q584919,University of Madrid
http://www.wikidata.org/entity/Q585828,Seton Hall University
http://www.wikidata.org/entity/Q587326,Tokyo Institute of Technology
http://www.wikidata.org/entity/Q56860,Lithuanian University of Educational Sciences
http://www.wikidata.org/entity/Q60845,Thunchath Ezhuthachan Malayalam University
http://www.wikidata.org/entity/Q61563,Baku Academy of Music
http://www.wikidata.org/entity/Q65043,Faculté polytechnique de Mons
http://www.wikidata.org/entity/Q65379,Virginia Tech
http://www.wikidata.org/entity/Q49167,Wesleyan University
